,Level,Date,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Week,Month
0,National,2019/01/01,"77,433,867","248,733,553","897,784,368","241,667,151","234,284,795","108,078,903","129,670,778","116,904,343","40,432,062","15,686,639","7,525,563","1,806,022","1,728,112",0,1
1,National,2019/01/02,"61,305,201","264,862,219","1,139,452,281","291,276,735","285,887,315","138,039,296","171,637,514","167,412,698","56,148,976","17,739,183","7,817,044","1,962,301","1,531,219",0,1
2,National,2019/01/03,"63,050,480","263,116,940","1,162,752,684","296,375,014","290,074,425","140,771,581","175,775,410","172,027,487","57,632,422","18,366,626","8,124,548","2,038,099","1,567,072",0,1
3,National,2019/01/04,"61,803,652","264,363,768","1,181,953,829","293,159,631","295,643,296","145,251,819","181,324,645","176,144,493","58,761,592","19,315,785","8,687,318","2,096,065","1,569,185",0,1
4,National,2019/01/05,"64,389,745","261,777,675","1,180,476,620","295,459,014","304,168,709","148,540,651","180,941,769","165,239,790","54,842,134","19,363,939","8,490,791","1,991,159","1,438,664",0,1
5,National,2019/01/06,"66,498,949","259,668,471","1,073,940,581","268,535,036","285,817,694","136,432,949","163,231,150","144,091,310","46,931,537","17,418,975","8,160,971","1,917,898","1,403,061",1,1
6,National,2019/01/07,"62,840,591","263,326,829","1,144,741,952","301,592,063","286,444,719","137,699,110","169,846,852","165,178,406","55,660,657","17,491,604","7,584,683","1,815,569","1,428,289",1,1
7,National,2019/01/08,"63,064,293","263,103,127","1,141,497,715","299,541,016","285,368,410","136,696,978","169,468,215","166,322,929","55,968,279","17,369,502","7,471,402","1,856,802","1,434,182",1,1
8,National,2019/01/09,"62,305,155","263,862,265","1,135,628,554","291,070,223","285,839,600","137,586,966","170,647,903","166,169,173","55,640,198","17,543,261","7,709,071","1,923,976","1,498,183",1,1
9,National,2019/01/10,"61,355,771","264,811,649","1,161,334,504","297,556,678","290,556,495","140,392,680","174,998,777","171,169,293","57,136,281","18,087,977","7,940,284","1,975,790","1,520,249",1,1
10,National,2019/01/11,"59,834,641","266,332,779","1,184,885,473","295,273,737","297,378,068","145,572,753","181,250,583","175,850,109","58,430,729","19,057,189","8,515,550","2,035,490","1,521,265",1,1
11,National,2019/01/12,"63,296,966","262,870,454","1,182,862,624","296,713,405","306,038,693","148,874,313","180,918,787","164,952,150","54,516,839","19,155,431","8,351,726","1,941,597","1,399,683",1,1
12,National,2019/01/13,"65,948,772","260,218,648","1,078,662,870","270,508,532","288,192,412","137,008,634","163,602,272","144,148,595","46,690,008","17,211,139","8,047,182","1,882,036","1,372,060",2,1
13,National,2019/01/14,"61,722,485","264,444,935","1,145,155,833","298,317,431","287,269,097","138,304,328","170,770,204","165,997,057","55,849,495","17,633,915","7,701,540","1,856,021","1,456,745",2,1
